receipt_id,barcode,description,final_price,item_price,quantity_purchased
5ff1e1eb0a720f0523000575,4011,ITEM NOT FOUND,26.00,26.00,5
5ff1e1bb0a720f052300056b,4011,ITEM NOT FOUND,1,1,1
5ff1e1bb0a720f052300056b,028400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,10.00,10.00,1
5ff1e1f10a720f052300057a,,,,,
5ff1e1ee0a7214ada100056f,4011,ITEM NOT FOUND,28.00,28.00,4
5ff1e1d20a7214ada1000561,4011,ITEM NOT FOUND,1,1,1
5ff1e1d20a7214ada1000561,1234,,2.56,2.56,3
5ff1e1e40a7214ada1000566,4011,ITEM NOT FOUND,3.25,3.25,1
5ff1e1cd0a720f052300056f,,MSSN TORTLLA,2.23,2.23,1
5ff1e1a40a720f0523000569,046000832517,"Old El Paso Mild Chopped Green Chiles, 4.5 Oz",10.00,10.00,1
5ff1e1ed0a7214ada100056e,4011,ITEM NOT FOUND,20.00,20.00,5
5ff1e1eb0a7214ada100056b,4011,ITEM NOT FOUND,20.00,20.00,3
5ff1e1c50a720f052300056c,4011,ITEM NOT FOUND,1,1,1
5ff1e1a10a720f0523000568,013562300631,"Annie's Homegrown Organic White Cheddar Macaroni & Cheese Shells, 6 Oz",50.00,50.00,5
5ff1e1b60a7214ada100055c,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,1
5ff1e1b60a7214ada100055c,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,1
5ff1e1b60a7214ada100055c,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,1
5ff1e1b60a7214ada100055c,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,1
5ff1e1b60a7214ada100055c,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,1
5ff1e1b60a7214ada100055c,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,1
5ff1e1b60a7214ada100055c,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,1
5ff1e1b60a7214ada100055c,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,1
5ff1e1b60a7214ada100055c,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,1
5ff1e1b60a7214ada100055c,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,1
5f9c74f70a7214ad07000037,075925306254,,1,1,1
5f9c74f70a7214ad07000037,,,,,
5f9c74f70a7214ad07000037,,,,,
5f9c74f70a7214ad07000037,,,,,
5f9c74f70a7214ad07000037,,,,,
5f9c74f70a7214ad07000037,,,,,
5f9c74f70a7214ad07000037,,,,,
5f9c74f70a7214ad07000037,,,,,
5f9c74f70a7214ad07000037,,,,,
5f9c74f70a7214ad07000037,,,,,
5f9c74f70a7214ad07000037,,,,,
5ff1e1b20a7214ada100055a,4011,ITEM NOT FOUND,1,1,1
5ff1e1e90a7214ada1000569,,,,,
5ff1e1e90a7214ada1000569,,,,,
5ff1e1df0a7214ada1000564,4011,ITEM NOT FOUND,1,1,1
5ff1e1df0a7214ada1000564,028400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,10.00,10.00,1
5ff1e1b40a7214ada100055b,075925306254,,1,1,1
5ff1e1b40a7214ada100055b,,,,,
5ff1e1b40a7214ada100055b,,,,,
5ff1e1b40a7214ada100055b,,,,,
5ff1e1b40a7214ada100055b,,,,,
5ff1e1b40a7214ada100055b,,,,,
5ff1e1b40a7214ada100055b,,,,,
5ff1e1b40a7214ada100055b,,,,,
5ff1e1b40a7214ada100055b,,,,,
5ff1e1b40a7214ada100055b,,,,,
5ff1e1b40a7214ada100055b,,,,,
5ff1e1eb0a720f0523000576,4011,ITEM NOT FOUND,26.00,26.00,2
5ff1e1c80a720f052300056d,4011,ITEM NOT FOUND,1,1,1
5ff1e1c80a720f052300056d,1234,,,,
5f9c74f90a7214ad07000038,075925306254,,1,1,1
5f9c74f90a7214ad07000038,075925306254,,10.00,10.00,2
5f9c74f90a7214ad07000038,034100573065,MILLER LITE 24 PACK 12OZ CAN,1.00,1.00,1
5f9c74f90a7214ad07000038,034100573065,MILLER LITE 24 PACK 12OZ CAN,1.00,1.00,1
5f9c74f90a7214ad07000038,034100573065,MILLER LITE 24 PACK 12OZ CAN,1.00,1.00,1
5ff1e1960a720f0523000567,4011,ITEM NOT FOUND,1,1,1
5ff1e1ec0a7214ada100056c,4011,ITEM NOT FOUND,21.00,21.00,2
5ff1e1d70a720f0523000571,041000168468,KNORR ASSORTED PASTA SIDE DISH POUCH IN CARDBORD BX 34.4 OZ,1,1,1
5ff1e1d70a720f0523000571,2700719497082,NEXXUS REPLENISHING HAIR TREATMENT LIQUID RP 33.8 OZ,1,1,1
5ff1e1c60a7214ada100055e,4011,ITEM NOT FOUND,1,1,1
5ff1e1c60a7214ada100055e,1234,,,,
5ff1e1ee0a7214ada1000570,4011,ITEM NOT FOUND,27.00,27.00,5
5ff1e1cf0a720f0523000570,4011,ITEM NOT FOUND,1,1,1
5ff1e1cf0a720f0523000570,1234,,,,
5ff1e1e10a720f0523000572,079400066619,SUAVE PROFESSIONALS MOISTURIZING SHAMPOO LIQUID PLASTIC BOTTLE RP 12.6 OZ - 0079400066612,1,1,1
5ff1e1d40a7214ada1000562,,DELETED ITEM,1,1,1
5ff1e1d40a7214ada1000562,051500720011,JIF CRMY PNT BTR JAR 40 OZ,2,2,2
5ff1e1ee0a720f0523000578,4011,ITEM NOT FOUND,27.00,27.00,4
5ff371030a7214ada10005a5,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,1
5ff371030a7214ada10005a5,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,1
5ff371030a7214ada10005a5,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,1
5ff371030a7214ada10005a5,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,1
5ff371030a7214ada10005a5,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,1
5ff371030a7214ada10005a5,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,1
5ff371030a7214ada10005a5,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,1
5ff371030a7214ada10005a5,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,1
5ff371030a7214ada10005a5,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,1
5ff371030a7214ada10005a5,087684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,1
5ff36dcc0a720f05230005b1,071040063102,,0.99,0.99,1
5ff36c750a7214ada100058f,029000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,1
5ff36c750a7214ada100058f,029000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,1
5ff36c750a7214ada100058f,029000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,1
5ff36c750a7214ada100058f,029000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,1
5ff36c750a7214ada100058f,029000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,1
5ff36c750a7214ada100058f,029000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,1
5ff36c750a7214ada100058f,029000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,1
5ff36c750a7214ada100058f,029000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,1
