receipt_id,barcode,description,final_price,item_price,quantity_purchased,needs_fetch_review,needs_fetch_review_reason,partner_item_id,prevent_target_gap_points,user_flagged_barcode,user_flagged_description,user_flagged_new_item,user_flagged_price,user_flagged_quantity,points_not_awarded_reason,points_payer_id,rewards_group,rewards_product_partner_id
5ff1e1eb0a720f0523000575,4011,ITEM NOT FOUND,26.00,26.00,5,False,,1,True,4011,,True,26.00,5,,,,
5ff1e1bb0a720f052300056b,4011,ITEM NOT FOUND,1,1,1,,,1,,,,,,,,,,
5ff1e1bb0a720f052300056b,028400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,10.00,10.00,1,True,USER_FLAGGED,2,True,028400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,True,10.00,1,Action not allowed for user and CPG,5332f5fbe4b03c9a25efd0ba,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba
5ff1e1f10a720f052300057a,,,,,,False,,1,True,4011,,True,26.00,3,,,,
5ff1e1ee0a7214ada100056f,4011,ITEM NOT FOUND,28.00,28.00,4,False,,1,True,4011,,True,28.00,4,,,,
5ff1e1d20a7214ada1000561,4011,ITEM NOT FOUND,1,1,1,,,1,,,,,,,,,,
5ff1e1d20a7214ada1000561,1234,,2.56,2.56,3,True,USER_FLAGGED,2,True,1234,,True,2.56,3,,,,
5ff1e1e40a7214ada1000566,4011,ITEM NOT FOUND,3.25,3.25,1,False,,1,True,4011,,,,,Action not allowed for user and CPG,5332f5fbe4b03c9a25efd0ba,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba
5ff1e1cd0a720f052300056f,,MSSN TORTLLA,2.23,2.23,1,,,1009,,,,,,,,,,
5ff1e1a40a720f0523000569,046000832517,"Old El Paso Mild Chopped Green Chiles, 4.5 Oz",10.00,10.00,1,,,0,,,,,,,Action not allowed for user and CPG,5332f5f3e4b03c9a25efd0ae,OLD EL PASO BEANS & PEPPERS,5332f5f3e4b03c9a25efd0ae
5ff1e1ed0a7214ada100056e,4011,ITEM NOT FOUND,20.00,20.00,5,False,,1,True,4011,,True,20.00,5,,,,
5ff1e1eb0a7214ada100056b,4011,ITEM NOT FOUND,20.00,20.00,3,False,,1,True,4011,,True,20.00,3,,,,
5ff1e1c50a720f052300056c,4011,ITEM NOT FOUND,1,1,1,,,1,,,,,,,,,,
5ff1e1a10a720f0523000568,013562300631,"Annie's Homegrown Organic White Cheddar Macaroni & Cheese Shells, 6 Oz",50.00,50.00,5,True,POINTS_GREATER_THAN_THRESHOLD,1,,,,,,,Action not allowed for user and CPG,5332f5f3e4b03c9a25efd0ae,ANNIE'S HOMEGROWN MULTI-SERVING MAC & CHEESE,5332f5f3e4b03c9a25efd0ae
5ff1e1b60a7214ada100055c,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,1,,,1,,,,,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1
5ff1e1b60a7214ada100055c,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,1,,,2,,,,,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1
5ff1e1b60a7214ada100055c,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,1,,,3,,,,,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1
5ff1e1b60a7214ada100055c,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,1,,,4,,,,,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1
5ff1e1b60a7214ada100055c,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,1,,,5,,,,,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1
5ff1e1b60a7214ada100055c,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,1,,,6,,,,,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1
5ff1e1b60a7214ada100055c,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,1,,,7,,,,,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1
5ff1e1b60a7214ada100055c,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,1,,,8,,,,,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1
5ff1e1b60a7214ada100055c,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,1,,,9,,,,,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1
5ff1e1b60a7214ada100055c,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,1,,,10,,,,,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1
5f9c74f70a7214ad07000037,075925306254,,1,1,1,,,1,,,,,,,,,KRAFT NATURAL CHEESE - SHREDDED,559c2234e4b06aca36af13c6
5f9c74f70a7214ad07000037,,,,,,True,USER_FLAGGED,2,True,034100573065,MILLER LITE 24 PACK 12OZ CAN,True,29.00,1,,,,
5f9c74f70a7214ad07000037,,,,,,True,USER_FLAGGED,3,True,034100573065,MILLER LITE 24 PACK 12OZ CAN,True,29.00,1,,,,
5f9c74f70a7214ad07000037,,,,,,True,USER_FLAGGED,4,True,034100573065,MILLER LITE 24 PACK 12OZ CAN,True,29.00,1,,,,
5f9c74f70a7214ad07000037,,,,,,True,USER_FLAGGED,5,True,034100573065,MILLER LITE 24 PACK 12OZ CAN,True,29.00,1,,,,
5f9c74f70a7214ad07000037,,,,,,True,USER_FLAGGED,6,True,034100573065,MILLER LITE 24 PACK 12OZ CAN,True,29.00,1,,,,
5f9c74f70a7214ad07000037,,,,,,True,USER_FLAGGED,7,True,034100573065,MILLER LITE 24 PACK 12OZ CAN,True,29.00,1,,,,
5f9c74f70a7214ad07000037,,,,,,True,USER_FLAGGED,8,True,034100573065,MILLER LITE 24 PACK 12OZ CAN,True,29.00,1,,,,
5f9c74f70a7214ad07000037,,,,,,True,USER_FLAGGED,9,True,034100573065,MILLER LITE 24 PACK 12OZ CAN,True,29.00,1,,,,
5f9c74f70a7214ad07000037,,,,,,True,USER_FLAGGED,10,True,034100573065,MILLER LITE 24 PACK 12OZ CAN,True,29.00,1,,,,
5f9c74f70a7214ad07000037,,,,,,True,USER_FLAGGED,11,True,034100573065,MILLER LITE 24 PACK 12OZ CAN,True,29.00,1,,,,
5ff1e1b20a7214ada100055a,4011,ITEM NOT FOUND,1,1,1,,,1,,,,,,,,,,
5ff1e1e90a7214ada1000569,,,,,,True,USER_FLAGGED,1,True,4011,,True,25.00,3,,,,
5ff1e1e90a7214ada1000569,,,,,,True,USER_FLAGGED,2,True,034100573065,MILLER LITE 24 PACK 12OZ CAN,True,27.00,3,,,,
5ff1e1df0a7214ada1000564,4011,ITEM NOT FOUND,1,1,1,False,,1,,,,,,,,,,
5ff1e1df0a7214ada1000564,028400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,10.00,10.00,1,False,,2,True,028400642255,,True,10.00,1,Action not allowed for user and CPG,5332f5fbe4b03c9a25efd0ba,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba
5ff1e1b40a7214ada100055b,075925306254,,1,1,1,,,1,,,,,,,,,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5e7cf838f221c312e698a628
